series,year_issued,coupon_rate,tenor_years,maturity_date,offering_period,total_issued_trillion_idr
ORI001,2006,12.05,3,2009-08-09,Jul-Aug 2006,3.28
ORI002,2007,9.28,4,2010-03-28,Mar 2007,6.22
ORI003,2007,9.4,4,2011-09-12,Aug-Sep 2007,9.37
ORI004,2008,9.5,5,2012-03-12,Feb-Mar 2008,13.46
ORI005,2008,11.45,3,2013-09-15,Aug 2008,2.71
ORI006,2009,9.35,3,2012-08-15,Jul-Aug 2009,8.54
ORI007,2010,7.95,3,2013-08-15,Jul 2010,8.0
ORI008,2011,7.3,3,2014-10-15,Oct 2011,11.0
ORI009,2012,6.25,3,2015-10-15,Sep-Oct 2012,12.68
ORI010,2013,8.5,3,2016-10-15,Sep-Oct 2013,20.21
ORI011,2014,8.5,3,2017-10-15,Oct 2014,21.22
ORI012,2015,9.0,3,2018-10-15,Oct 2015,27.44
ORI013,2016,6.6,3,2019-10-15,Sep-Oct 2016,19.69
ORI014,2017,5.85,3,2020-10-15,Sep-Oct 2017,8.95
ORI015,2018,8.25,3,2021-10-15,Oct 2018,23.38
ORI016,2019,6.8,3,2022-10-15,Oct 2019,8.21
ORI017,2020,6.4,3,2023-07-15,Jun-Jul 2020,10.89
ORI018,2020,5.7,3,2023-10-15,Oct 2020,12.97
ORI019,2021,5.57,3,2024-02-15,Jan-Feb 2021,26.0
ORI020,2021,4.95,3,2024-10-15,Oct 2021,15.0
