year,month,month_num,BTC_usd,XRP_usd,XLM_usd
2017,Jan,1,970.18,0.0063,0.0021
2017,Feb,2,1190.78,0.0058,0.0032
2017,Mar,3,1071.79,0.0056,0.0043
2017,Apr,4,1348.27,0.0349,0.0050
2017,May,5,2286.29,0.2527,0.0424
2017,Jun,6,2492.60,0.2681,0.0286
2017,Jul,7,2875.34,0.1822,0.0200
2017,Aug,8,4764.87,0.2068,0.0249
2017,Sep,9,4338.71,0.1961,0.0182
2017,Oct,10,6468.40,0.2038,0.0254
2017,Nov,11,10233.60,0.2500,0.0642
2017,Dec,12,13860.14,2.3000,0.4583
2018,Jan,1,10166.51,1.1268,0.5914
2018,Feb,2,10326.76,0.9225,0.3619
2018,Mar,3,6925.01,0.5131,0.2311
2018,Apr,4,9240.55,0.8260,0.4013
2018,May,5,7488.99,0.6095,0.2871
2018,Jun,6,6394.29,0.4570,0.1920
2018,Jul,7,8220.07,0.4381,0.2528
2018,Aug,8,7014.35,0.3359,0.2048
2018,Sep,9,6601.80,0.5817,0.2304
2018,Oct,10,6317.61,0.4536,0.2301
2018,Nov,11,3908.76,0.3620,0.1282
2018,Dec,12,3693.79,0.3535,0.1116
2019,Jan,1,3457.79,0.2925,0.0816
2019,Feb,2,3784.51,0.3056,0.0818
2019,Mar,3,4092.63,0.3109,0.1086
2019,Apr,4,5269.03,0.3007,0.1003
2019,May,5,8574.50,0.4142,0.1174
2019,Jun,6,10764.28,0.4627,0.1254
2019,Jul,7,10085.80,0.3188,0.0868
2019,Aug,8,9596.44,0.2619,0.0604
2019,Sep,9,8293.87,0.2454,0.0604
2019,Oct,10,9199.58,0.2920,0.0617
2019,Nov,11,7569.63,0.2218,0.0521
2019,Dec,12,7193.60,0.1924,0.0463
2020,Jan,1,9350.53,0.2426,0.0593
2020,Feb,2,8778.44,0.2364,0.0488
2020,Mar,3,6424.35,0.1755,0.0411
2020,Apr,4,8628.66,0.2150,0.0669
2020,May,5,9446.57,0.2030,0.0706
2020,Jun,6,9137.08,0.1764,0.0683
2020,Jul,7,11351.62,0.2418,0.1010
2020,Aug,8,11681.36,0.2906,0.0877
2020,Sep,9,10764.48,0.2419,0.0757
2020,Oct,10,13804.81,0.2407,0.0813
2020,Nov,11,19698.14,0.6520,0.1641
2020,Dec,12,29001.72,0.2135,0.1300
2021,Jan,1,33141.52,0.3719,0.2887
2021,Feb,2,45231.77,0.4350,0.4153
2021,Mar,3,58918.83,0.5623,0.3963
2021,Apr,4,57684.10,1.3897,0.5238
2021,May,5,37332.86,0.9199,0.3670
2021,Jun,6,35040.84,0.6552,0.2609
2021,Jul,7,41461.84,0.7515,0.2807
2021,Aug,8,47166.59,1.1048,0.3237
2021,Sep,9,43790.89,0.9437,0.2999
2021,Oct,10,61318.96,1.0943,0.3758
2021,Nov,11,56905.07,0.9692,0.3339
2021,Dec,12,46306.45,0.8321,0.2691
