year,month,month_num,close_usd
2017,Jan,1,0.0021
2017,Feb,2,0.0032
2017,Mar,3,0.0043
2017,Apr,4,0.0050
2017,May,5,0.0424
2017,Jun,6,0.0286
2017,Jul,7,0.0200
2017,Aug,8,0.0249
2017,Sep,9,0.0182
2017,Oct,10,0.0254
2017,Nov,11,0.0642
2017,Dec,12,0.4583
2018,Jan,1,0.5914
2018,Feb,2,0.3619
2018,Mar,3,0.2311
2018,Apr,4,0.4013
2018,May,5,0.2871
2018,Jun,6,0.1920
2018,Jul,7,0.2528
2018,Aug,8,0.2048
2018,Sep,9,0.2304
2018,Oct,10,0.2301
2018,Nov,11,0.1282
2018,Dec,12,0.1116
2019,Jan,1,0.0816
2019,Feb,2,0.0818
2019,Mar,3,0.1086
2019,Apr,4,0.1003
2019,May,5,0.1174
2019,Jun,6,0.1254
2019,Jul,7,0.0868
2019,Aug,8,0.0604
2019,Sep,9,0.0604
2019,Oct,10,0.0617
2019,Nov,11,0.0521
2019,Dec,12,0.0463
2020,Jan,1,0.0593
2020,Feb,2,0.0488
2020,Mar,3,0.0411
2020,Apr,4,0.0669
2020,May,5,0.0706
2020,Jun,6,0.0683
2020,Jul,7,0.1010
2020,Aug,8,0.0877
2020,Sep,9,0.0757
2020,Oct,10,0.0813
2020,Nov,11,0.1641
2020,Dec,12,0.1300
2021,Jan,1,0.2887
2021,Feb,2,0.4153
2021,Mar,3,0.3963
2021,Apr,4,0.5238
2021,May,5,0.3670
2021,Jun,6,0.2609
2021,Jul,7,0.2807
2021,Aug,8,0.3237
2021,Sep,9,0.2999
2021,Oct,10,0.3758
2021,Nov,11,0.3339
2021,Dec,12,0.2691
